"Connector Name","Connector Description","Tables","Data collection rule support","Supported by"
"CYFIRMA Cyber Intelligence","The CYFIRMA Cyber Intelligence data connector enables seamless log ingestion from the DeCYFIR API into Microsoft Sentinel. Built on the Microsoft Sentinel Codeless Connector Framework, it leverages the DeCYFIR Alerts API to retrieve logs. Additionally, it supports DCR-based ingestion time transformations , which parse security data into a custom table during ingestion. This eliminates the need for query-time parsing, enhancing performance and efficiency.","CyfirmaIndicators_CL; CyfirmaThreatActors_CL; CyfirmaCampaigns_CL; CyfirmaMalware_CL","FALSE","CYFIRMA"
"CYFIRMA Digital Risk","The CYFIRMA Digital Risk Alerts data connector enables seamless log ingestion from the DeCYFIR/DeTCT API into Microsoft Sentinel. Built on the Microsoft Sentinel Codeless Connector Framework, it leverages the DeCYFIR Alerts API to retrieve logs. Additionally, it supports DCR-based ingestion time transformations , which parse security data into a custom table during ingestion. This eliminates the need for query-time parsing, enhancing performance and efficiency.","CyfirmaDBWMPhishingAlerts_CL; CyfirmaDBWMRansomwareAlerts_CL; CyfirmaDBWMDarkWebAlerts_CL; CyfirmaSPESourceCodeAlerts_CL; CyfirmaSPEConfidentialFilesAlerts_CL; CyfirmaSPEPIIAndCIIAlerts_CL; CyfirmaSPESocialThreatAlerts_CL","FALSE","CYFIRMA"
"CYFIRMA Vulnerabilities Intelligence","The CYFIRMA Vulnerabilities Intelligence data connector enables seamless log ingestion from the DeCYFIR API into Microsoft Sentinel. Built on the Microsoft Sentinel Codeless Connector Framework, it leverages the DeCYFIR Alerts API to retrieve logs. Additionally, it supports DCR-based ingestion time transformations , which parse security data into a custom table during ingestion. This eliminates the need for query-time parsing, enhancing performance and efficiency.","CyfirmaVulnerabilities_CL","FALSE","CYFIRMA"
"Cynerio Security Events","The Cynerio connector allows you to easily connect your Cynerio Security Events with Microsoft Sentinel, to view IDS Events. This gives you more insight into your organization network security posture and improves your security operation capabilities.","CynerioEvent_CL","FALSE","Cynerio"
"Darktrace Connector for Microsoft Sentinel REST API","The Darktrace REST API connector pushes real-time events from Darktrace to Microsoft Sentinel and is designed to be used with the Darktrace Solution for Sentinel. The connector writes logs to a custom log table titled ""darktrace_model_alerts_CL""; Model Breaches, AI Analyst Incidents, System Alerts and Email Alerts can be ingested - additional filters can be set up on the Darktrace System Configuration page. Data is pushed to Sentinel from Darktrace masters.","darktrace_model_alerts_CL","FALSE","Darktrace"
"Datalake2Sentinel","This solution installs the Datalake2Sentinel connector which is built using the Codeless Connector Framework and allows you to automatically ingest threat intelligence indicators from Datalake Orange Cyberdefense's CTI platform into Microsoft Sentinel via the Upload Indicators REST API. After installing the solution, configure and enable this data connector by following guidance in Manage solution view.","ThreatIntelligenceIndicator","FALSE","Orange Cyberdefense"
"Dataminr Pulse Alerts Data Connector (using Azure Functions)","Dataminr Pulse Alerts Data Connector brings our AI-powered real-time intelligence into Microsoft Sentinel for faster threat detection and response.","DataminrPulse_Alerts_CL","FALSE","Dataminr Support"
"Derdack SIGNL4","When critical systems fail or security incidents happen, SIGNL4 bridges the ‘last mile’ to your staff, engineers, IT admins and workers in the field. It adds real-time mobile alerting to your services, systems, and processes in no time. SIGNL4 notifies through persistent mobile push, SMS text and voice calls with acknowledgement, tracking and escalation. Integrated duty and shift scheduling ensure the right people are alerted at the right time. Learn more >","SecurityIncident","FALSE","Derdack"
"Digital Shadows Searchlight (using Azure Functions)","The Digital Shadows data connector provides ingestion of the incidents and alerts from Digital Shadows Searchlight into the Microsoft Sentinel using the REST API. The connector will provide the incidents and alerts information such that it helps to examine, diagnose and analyse the potential security risks and threats.","DigitalShadows_CL","FALSE","Digital Shadows"
"DNS","The DNS log connector allows you to easily connect your DNS analytic and audit logs with Microsoft Sentinel, and other related data, to improve investigation. When you enable DNS log collection you can: - Identify clients that try to resolve malicious domain names. - Identify stale resource records. - Identify frequently queried domain names and talkative DNS clients. - View request load on DNS servers. - View dynamic DNS registration failures. For more information, see the Microsoft Sentinel documentation .","DnsEvents; DnsInventory","FALSE","Microsoft Corporation"
"Doppel Data Connector","The data connector is built on Microsoft Sentinel for Doppel events and alerts and supports DCR-based ingestion time transformations that parses the received security event data into a custom columns so that queries don't need to parse it again, thus resulting in better performance.","DoppelTable_CL","FALSE","Doppel"
"Dragos Notifications via Cloud Sitestore","The Dragos Platform is the leading Industrial Cyber Security platform it offers a comprehensive Operational Technology (OT) cyber threat detection built by unrivaled industrial cybersecurity expertise. This solution enables Dragos Platform notification data to be viewed in Microsoft Sentinel so that security analysts are able to triage potential cyber security events occurring in their industrial environments.","DragosAlerts_CL","FALSE","Dragos Inc"
"Druva Events Connector","Provides capability to ingest the Druva events from Druva APIs","DruvaSecurityEvents_CL","FALSE","Druva Inc"
"Dynamics 365 Finance and Operations","Dynamics 365 for Finance and Operations is a comprehensive Enterprise Resource Planning (ERP) solution that combines financial and operational capabilities to help businesses manage their day-to-day operations. It offers a range of features that enable businesses to streamline workflows, automate tasks, and gain insights into operational performance. The Dynamics 365 Finance and Operations data connector ingests Dynamics 365 Finance and Operations admin activities and audit logs as well as user business process and application activities logs into Microsoft Sentinel.","FinanceOperationsActivity_CL","FALSE","Microsoft Corporation"
"Dynamics365","The Dynamics 365 Common Data Service (CDS) activities connector provides insight into admin, user, and support activities, as well as Microsoft Social Engagement logging events. By connecting Dynamics 365 CRM logs into Microsoft Sentinel, you can view this data in workbooks, use it to create custom alerts, and improve your investigation process.","Dynamics365Activity","FALSE","Microsoft Corporation"
"Dynatrace Attacks","This connector uses the Dynatrace Attacks REST API to ingest detected attacks into Microsoft Sentinel Log Analytics","DynatraceAttacks_CL","FALSE","Dynatrace"
"Dynatrace Audit Logs","This connector uses the Dynatrace Audit Logs REST API to ingest tenant audit logs into Microsoft Sentinel Log Analytics","DynatraceAuditLogs_CL","FALSE","Dynatrace"
"Dynatrace Problems","This connector uses the Dynatrace Problem REST API to ingest problem events into Microsoft Sentinel Log Analytics","DynatraceProblems_CL","FALSE","Dynatrace"
"Dynatrace Runtime Vulnerabilities","This connector uses the Dynatrace Security Problem REST API to ingest detected runtime vulnerabilities into Microsoft Sentinel Log Analytics.","DynatraceSecurityProblems_CL","FALSE","Dynatrace"
"Elastic Agent (Standalone)","The Elastic Agent data connector provides the capability to ingest Elastic Agent logs, metrics, and security data into Microsoft Sentinel.","ElasticAgentEvent","FALSE","Microsoft Corporation"
"Ermes Browser Security Events","Ermes Browser Security Events","ErmesBrowserSecurityEvents_CL","FALSE","Ermes Cyber Security S.p.A."
"ESET Protect Platform (using Azure Functions)","The ESET Protect Platform data connector enables users to inject detections data from ESET Protect Platform using the provided Integration REST API . Integration REST API runs as scheduled Azure Function App.","IntegrationTable_CL; IntegrationTableIncidents_CL","FALSE","ESET Enterprise Integrations"
"Exchange Security Insights On-Premises Collector","Connector used to push Exchange On-Premises Security configuration for Microsoft Sentinel Analysis","ESIExchangeConfig_CL","FALSE","Community"
"Exchange Security Insights Online Collector (using Azure Functions)","Connector used to push Exchange Online Security configuration for Microsoft Sentinel Analysis","ESIExchangeOnlineConfig_CL","FALSE","Community"
"ExtraHop Detections Data Connector (using Azure Functions)","The ExtraHop Detections Data Connector enables you to import detection data from ExtraHop RevealX to Microsoft Sentinel through webhook payloads.","ExtraHop_Detections_CL","FALSE","ExtraHop Support"
"F5 BIG-IP","The F5 firewall connector allows you to easily connect your F5 logs with Microsoft Sentinel, to view dashboards, create custom alerts, and improve investigation. This gives you more insight into your organization's network and improves your security operation capabilities.","F5Telemetry_LTM_CL; F5Telemetry_system_CL; F5Telemetry_ASM_CL","FALSE","F5 Networks"
"Feedly","This connector allows you to ingest IoCs from Feedly.","feedly_indicators_CL","FALSE","Feedly Inc"
"Flare","Flare connector allows you to receive data and intelligence from Flare on Microsoft Sentinel.","Firework_CL","FALSE","Flare"
"Forcepoint DLP","The Forcepoint DLP (Data Loss Prevention) connector allows you to automatically export DLP incident data from Forcepoint DLP into Microsoft Sentinel in real-time. This enriches visibility into user activities and data loss incidents, enables further correlation with data from Azure workloads and other feeds, and improves monitoring capability with Workbooks inside Microsoft Sentinel.","ForcepointDLPEvents_CL","FALSE","Community"
"Forescout","The Forescout data connector provides the capability to ingest Forescout events into Microsoft Sentinel. Refer to Forescout documentation for more information.","ForescoutEvent","FALSE","Microsoft Corporation"
"Forescout Host Property Monitor","The Forescout Host Property Monitor connector allows you to connect host properties from Forescout platform with Microsoft Sentinel, to view, create custom incidents, and improve investigation. This gives you more insight into your organization network and improves your security operation capabilities.","ForescoutHostProperties_CL","FALSE","Microsoft Corporation"
"Fortinet FortiNDR Cloud","The Fortinet FortiNDR Cloud data connector provides the capability to ingest Fortinet FortiNDR Cloud data into Microsoft Sentinel using the FortiNDR Cloud API","FncEventsSuricata_CL; FncEventsObservation_CL; FncEventsDetections_CL","FALSE","Fortinet"
"Garrison ULTRA Remote Logs (using Azure Functions)","The Garrison ULTRA Remote Logs connector allows you to ingest Garrison ULTRA Remote Logs into Microsoft Sentinel.","Garrison_ULTRARemoteLogs_CL","FALSE","Garrison"
"GCP Cloud Run (via Codeless Connector Framework) (Preview)","The GCP Cloud Run data connector provides the capability to ingest Cloud Run request logs into Microsoft Sentinel using Pub/Sub. Refer the Cloud Run Overview for more details.","GCPCloudRun","FALSE","Microsoft Corporation"
"GCP Cloud SQL (via Codeless Connector Framework) (Preview)","The GCP Cloud SQL data connector provides the capability to ingest Audit logs into Microsoft Sentinel using the GCP Cloud SQL API. Refer to GCP cloud SQL Audit Logs documentation for more information.","GCPCloudSQL","FALSE","Microsoft Corporation"
"GCP Pub/Sub Audit Logs","The Google Cloud Platform (GCP) audit logs, ingested from Microsoft Sentinel's connector, enables you to capture three types of audit logs: admin activity logs, data access logs, and access transparency logs. Google cloud audit logs record a trail that practitioners can use to monitor access and detect potential threats across Google Cloud Platform (GCP) resources.","GCPAuditLogs","FALSE","Microsoft Corporation"
"GCP Pub/Sub Load Balancer Logs (via Codeless Connector Framework).","Google Cloud Platform (GCP) Load Balancer logs provide detailed insights into network traffic, capturing both inbound and outbound activities. These logs are used for monitoring access patterns and identifying potential security threats across GCP resources. Additionally, these logs also include GCP Web Application Firewall (WAF) logs, enhancing the ability to detect and mitigate risks effectively.","GCPLoadBalancerLogs_CL","FALSE","Microsoft Corporation"
"GCP Pub/Sub VPC Flow Logs (via Codeless Connector Framework)","The Google Cloud Platform (GCP) VPC Flow Logs enable you to capture network traffic activity at the VPC level, allowing you to monitor access patterns, analyze network performance, and detect potential threats across GCP resources.","GCPVPCFlow","FALSE","Microsoft Corporation"
"Gigamon AMX Data Connector","Use this data connector to integrate with Gigamon Application Metadata Exporter (AMX) and get data sent directly to Microsoft Sentinel.","Gigamon_CL","FALSE","Gigamon"
"GitHub Enterprise Audit Log (via Codeless Connector Framework) (Preview)","The GitHub audit log connector provides the capability to ingest GitHub logs into Microsoft Sentinel. By connecting GitHub audit logs into Microsoft Sentinel, you can view this data in workbooks, use it to create custom alerts, and improve your investigation process. Note: If you intended to ingest GitHub subscribed events into Microsoft Sentinel, please refer to GitHub (using Webhooks) Connector from "" Data Connectors "" gallery.","GitHubAuditLogsV2_CL","FALSE","Microsoft Corporation"
"Google ApigeeX (via Codeless Connector Framework) (Preview)","The Google ApigeeX data connector provides the capability to ingest Audit logs into Microsoft Sentinel using the Google Apigee API. Refer to Google Apigee API documentation for more information.","GCPApigee","FALSE","Microsoft Corporation"
"Google Cloud Platform CDN (via Codeless Connector Framework)","The Google Cloud Platform CDN data connector provides the capability to ingest Cloud CDN Audit logs and Cloud CDN Traffic logs into Microsoft Sentinel using the Compute Engine API. Refer the Product overview document for more details.","GCPCDN","FALSE","Microsoft Corporation"
"Google Cloud Platform Cloud IDS (via Codeless Connector Framework)","The Google Cloud Platform IDS data connector provides the capability to ingest Cloud IDS Traffic logs, Threat logs and Audit logs into Microsoft Sentinel using the Google Cloud IDS API. Refer to Cloud IDS API documentation for more information.","GCPIDS","FALSE","Microsoft Corporation"
"Google Cloud Platform Cloud Monitoring (via Codeless Connector Framework) (Preview)","The Google Cloud Platform Cloud Monitoring data connector ingests Monitoring logs from Google Cloud into Microsoft Sentinel using the Google Cloud Monitoring API. Refer to Cloud Monitoring API documentation for more details.","GCPMonitoring","FALSE","Microsoft Corporation"
"Google Cloud Platform Compute Engine (via Codeless Connector Framework) (Preview)","The Google Cloud Platform Compute Engine data connector provides the capability to ingest Compute Engine Audit logs into Microsoft Sentinel using the Google Cloud Compute Engine API. Refer to Cloud Compute Engine API documentation for more information.","GCPComputeEngine","FALSE","Microsoft Corporation"
"Google Cloud Platform DNS (via Codeless Connector Framework)","The Google Cloud Platform DNS data connector provides the capability to ingest Cloud DNS Query logs and Cloud DNS Audit logs into Microsoft Sentinel using the Google Cloud DNS API. Refer to Cloud DNS API documentation for more information.","GCPDNS","FALSE","Microsoft Corporation"
"Google Cloud Platform IAM (via Codeless Connector Framework)","The Google Cloud Platform IAM data connector provides the capability to ingest the Audit logs relating to Identity and Access Management (IAM) activities within Google Cloud into Microsoft Sentinel using the Google IAM API. Refer to GCP IAM API documentation for more information.","GCPIAM","FALSE","Microsoft Corporation"
"Google Cloud Platform NAT (via Codeless Connector Framework) (Preview)","The Google Cloud Platform NAT data connector provides the capability to ingest Cloud NAT Audit logs and Cloud NAT Traffic logs into Microsoft Sentinel using the Compute Engine API. Refer the Product overview document for more details.","GCPNATAudit; GCPNAT","FALSE","Microsoft Corporation"
"Google Cloud Platform Resource Manager (via Codeless Connector Framework) (Preview)","The Google Cloud Platform Resource Manager data connector provides the capability to ingest Resource Manager Admin Activity and Data Access Audit logs into Microsoft Sentinel using the Cloud Resource Manager API. Refer the Product overview document for more details.","GCPResourceManager","FALSE","Microsoft Corporation"
"Google Kubernetes Engine (via Codeless Connector Framework) (Preview)","The Google Kubernetes Engine (GKE) Logs enable you to capture cluster activity, workload behavior, and security events, allowing you to monitor Kubernetes workloads, analyze performance, and detect potential threats across GKE clusters.","GKEAudit","FALSE","Microsoft Corporation"
"Google Security Command Center","The Google Cloud Platform (GCP) Security Command Center is a comprehensive security and risk management platform for Google Cloud, ingested from Sentinel's connector. It offers features such as asset inventory and discovery, vulnerability and threat detection, and risk mitigation and remediation to help you gain insight into your organization's security and data attack surface. This integration enables you to perform tasks related to findings and assets more effectively.","GoogleCloudSCC","FALSE","Microsoft Corporation"
"Google Workspace Activities (via Codeless Connector Framework) (Preview)","The Google Workspace Activities data connector provides the capability to ingest Activity Events from Google Workspace API into Microsoft Sentinel.","GoogleWorkspaceReports","FALSE","Microsoft Corporation"
"GreyNoise Threat Intelligence","This Data Connector installs an Azure Function app to download GreyNoise indicators once per day and inserts them into the ThreatIntelligenceIndicator table in Microsoft Sentinel.","ThreatIntelligenceIndicator","FALSE","GreyNoise"
"HackerView Intergration (using Azure Functions)","Through the API integration, you have the capability to retrieve all the issues related to your HackerView organizations via a RESTful interface.","HackerViewLog_Azure_1_CL","FALSE","Cyber Threat Management 360"
"Holm Security Asset Data (using Azure Functions)","The connector provides the capability to poll data from Holm Security Center into Microsoft Sentinel.","net_assets_CL; web_assets_CL","FALSE","Holm Security"
"IIS Logs of Microsoft Exchange Servers","Using Azure Monitor Agent - You can stream all IIS Logs from the Windows machines connected to your Microsoft Sentinel workspace using the Windows agent. This connection enables you to create custom alerts, and improve investigation.","W3CIISLog","FALSE","Community"
"Illumio SaaS (using Azure Functions)","Illumio connector provides the capability to ingest events into Microsoft Sentinel. The connector provides ability to ingest auditable and flow events from AWS S3 bucket.","Illumio_Auditable_Events_CL; Illumio_Flow_Events_CL","FALSE","Illumio"
"Imperva Cloud WAF (using Azure Functions)","The Imperva Cloud WAF data connector provides the capability to integrate and ingest Web Application Firewall events into Microsoft Sentinel through the REST API. Refer to Log integration documentation for more information. The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","ImpervaWAFCloud_CL","FALSE","Microsoft Corporation"
"Infoblox Cloud Data Connector via AMA","The Infoblox Cloud Data Connector allows you to easily connect your Infoblox data with Microsoft Sentinel. By connecting your logs to Microsoft Sentinel, you can take advantage of search & correlation, alerting, and threat intelligence enrichment for each log.","CommonSecurityLog","TRUE","Infoblox"
"Infoblox Data Connector via REST API","The Infoblox Data Connector allows you to easily connect your Infoblox TIDE data and Dossier data with Microsoft Sentinel. By connecting your data to Microsoft Sentinel, you can take advantage of search & correlation, alerting, and threat intelligence enrichment for each log.","Failed_Range_To_Ingest_CL; Infoblox_Failed_Indicators_CL; dossier_whois_CL; dossier_tld_risk_CL; dossier_threat_actor_CL; dossier_rpz_feeds_records_CL; dossier_rpz_feeds_CL; dossier_nameserver_matches_CL; dossier_nameserver_CL; dossier_malware_analysis_v3_CL; dossier_inforank_CL; dossier_infoblox_web_cat_CL; dossier_geo_CL; dossier_dns_CL; dossier_atp_threat_CL; dossier_atp_CL; dossier_ptr_CL","FALSE","Infoblox"
"Infoblox SOC Insight Data Connector via AMA","The Infoblox SOC Insight Data Connector allows you to easily connect your Infoblox BloxOne SOC Insight data with Microsoft Sentinel. By connecting your logs to Microsoft Sentinel, you can take advantage of search & correlation, alerting, and threat intelligence enrichment for each log. This data connector ingests Infoblox SOC Insight CDC logs into your Log Analytics Workspace using the new Azure Monitor Agent. Learn more about ingesting using the new Azure Monitor Agent here . Microsoft recommends using this Data Connector.","CommonSecurityLog","TRUE","Infoblox"
"Infoblox SOC Insight Data Connector via REST API","The Infoblox SOC Insight Data Connector allows you to easily connect your Infoblox BloxOne SOC Insight data with Microsoft Sentinel. By connecting your logs to Microsoft Sentinel, you can take advantage of search & correlation, alerting, and threat intelligence enrichment for each log.","InfobloxInsight_CL","FALSE","Infoblox"
"InfoSecGlobal Data Connector","Use this data connector to integrate with InfoSec Crypto Analytics and get data sent directly to Microsoft Sentinel.","InfoSecAnalytics_CL","FALSE","InfoSecGlobal"
"Island Enterprise Browser Admin Audit (Polling CCF)","The Island Admin connector provides the capability to ingest Island Admin Audit logs into Microsoft Sentinel.","Island_Admin_CL","FALSE","Island"
"Island Enterprise Browser User Activity (Polling CCF)","The Island connector provides the capability to ingest Island User Activity logs into Microsoft Sentinel.","Island_User_CL","FALSE","Island"
"Jamf Protect Push Connector","The Jamf Protect connector provides the capability to read raw event data from Jamf Protect in Microsoft Sentinel.","jamfprotecttelemetryv2_CL; jamfprotectunifiedlogs_CL; jamfprotectalerts_CL","TRUE","Jamf Software, LLC"
"Keeper Security Push Connector","The Keeper Security connector provides the capability to read raw event data from Keeper Security in Microsoft Sentinel.","KeeperSecurityEventNewLogs_CL","FALSE","Keeper Security"
"LastPass Enterprise - Reporting (Polling CCF)","The LastPass Enterprise connector provides the capability to LastPass reporting (audit) logs into Microsoft Sentinel. The connector provides visibility into logins and activity within LastPass (such as reading and removing passwords).","LastPassNativePoller_CL","FALSE","The Collective Consulting"
"Lookout Mobile Threat Detection Connector (via Codeless Connector Framework) (Preview)","The Lookout Mobile Threat Detection data connector provides the capability to ingest events related to mobile security risks into Microsoft Sentinel through the Mobile Risk API. Refer to API documentation for more information. This connector helps you examine potential security risks detected in mobile devices.","LookoutMtdV2_CL","FALSE","Lookout"
"Luminar IOCs and Leaked Credentials (using Azure Functions)","Luminar IOCs and Leaked Credentials connector allows integration of intelligence-based IOC data and customer-related leaked records identified by Luminar.","ThreatIntelligenceIndicator","FALSE","Cognyte Luminar"
"MailGuard 365","MailGuard 365 Enhanced Email Security for Microsoft 365. Exclusive to the Microsoft marketplace, MailGuard 365 is integrated with Microsoft 365 security (incl. Defender) for enhanced protection against advanced email threats like phishing, ransomware and sophisticated BEC attacks.","MailGuard365_Threats_CL","FALSE","MailGuard 365"
"MailRisk by Secure Practice (using Azure Functions)","Data connector to push emails from MailRisk into Microsoft Sentinel Log Analytics.","MailRiskEmails_CL","FALSE","Secure Practice"
"Microsoft 365 (formerly, Office 365)","The Microsoft 365 (formerly, Office 365) activity log connector provides insight into ongoing user activities. You will get details of operations such as file downloads, access requests sent, changes to group events, set-mailbox and details of the user who performed the actions. By connecting Microsoft 365 logs into Microsoft Sentinel you can use this data to view dashboards, create custom alerts, and improve your investigation process. For more information, see the Microsoft Sentinel documentation .","OfficeActivity","FALSE","Microsoft Corporation"
"Microsoft 365 Insider Risk Management","Microsoft 365 Insider Risk Management is a compliance solution in Microsoft 365 that helps minimize internal risks by enabling you to detect, investigate, and act on malicious and inadvertent activities in your organization. Risk analysts in your organization can quickly take appropriate actions to make sure users are compliant with your organization's compliance standards. Insider risk policies allow you to: - define the types of risks you want to identify and detect in your organization. - decide on what actions to take in response, including escalating cases to Microsoft Advanced eDiscovery if needed. This solution produces alerts that can be seen by Office customers in the Insider Risk Management solution in Microsoft 365 Compliance Center. Learn More about Insider Risk Management. These alerts can be imported into Microsoft Sentinel with this connector, allowing you to see, investigate, and respond to them in a broader organizational threat context. For more information, see the Microsoft Sentinel documentation .","SecurityAlert","FALSE","Microsoft Corporation"
"Microsoft Active-Directory Domain Controllers Security Event Logs","Using Azure Monitor Agent -You can stream a part or all Domain Controllers Security Event logs from the Windows machines connected to your Microsoft Sentinel workspace using the Windows agent. This connection enables you to create custom alerts, and improve investigation.","SecurityEvent","FALSE","Community"
"Microsoft Dataverse","Microsoft Dataverse is a scalable and secure data platform that enables organizations to store and manage data used by business applications. The Microsoft Dataverse data connector provides the capability to ingest Dataverse and Dynamics 365 CRM activity logs from the Microsoft Purview Audit log into Microsoft Sentinel.","DataverseActivity","FALSE","Microsoft Corporation"
"Microsoft Defender for Cloud Apps","By connecting with Microsoft Defender for Cloud Apps you will gain visibility into your cloud apps, get sophisticated analytics to identify and combat cyberthreats, and control how your data travels. - Identify shadow IT cloud apps on your network. - Control and limit access based on conditions and session context. - Use built-in or custom policies for data sharing and data loss prevention. - Identify high-risk use and get alerts for unusual user activities with Microsoft behavioral analytics and anomaly detection capabilities, including ransomware activity, impossible travel, suspicious email forwarding rules, and mass download of files. - Mass download of files Deploy now >","SecurityAlert; McasShadowItReporting","FALSE","Microsoft Corporation"
"Microsoft Defender for Endpoint","Microsoft Defender for Endpoint is a security platform designed to prevent, detect, investigate, and respond to advanced threats. The platform creates alerts when suspicious security events are seen in an organization. Fetch alerts generated in Microsoft Defender for Endpoint to Microsoft Sentinel so that you can effectively analyze security events. You can create rules, build dashboards and author playbooks for immediate response. For more information, see the Microsoft Sentinel documentation > .","SecurityAlert","FALSE","Microsoft Corporation"
"Microsoft Defender for Identity","Connect Microsoft Defender for Identity to gain visibility into the events and user analytics. Microsoft Defender for Identity identifies, detects, and helps you investigate advanced threats, compromised identities, and malicious insider actions directed at your organization. Microsoft Defender for Identity enables SecOp analysts and security professionals struggling to detect advanced attacks in hybrid environments to: - Monitor users, entity behavior, and activities with learning-based analytics​ - Protect user identities and credentials stored in Active Directory - Identify and investigate suspicious user activities and advanced attacks throughout the kill chain - Provide clear incident information on a simple timeline for fast triage Try now > Deploy now > For more information, see the Microsoft Sentinel documentation > .","SecurityAlert","FALSE","Microsoft Corporation"
"Microsoft Defender for IoT","Gain insights into your IoT security by connecting Microsoft Defender for IoT alerts to Microsoft Sentinel. You can get out-of-the-box alert metrics and data, including alert trends, top alerts, and alert breakdown by severity. You can also get information about the recommendations provided for your IoT hubs including top recommendations and recommendations by severity. For more information, see the Microsoft Sentinel documentation .","SecurityAlert","FALSE","Microsoft Corporation"
"Microsoft Defender for Office 365 (Preview)","Microsoft Defender for Office 365 safeguards your organization against malicious threats posed by email messages, links (URLs) and collaboration tools. By ingesting Microsoft Defender for Office 365 alerts into Microsoft Sentinel, you can incorporate information about email- and URL-based threats into your broader risk analysis and build response scenarios accordingly. The following types of alerts will be imported: - A potentially malicious URL click was detected - Email messages containing malware removed after delivery - Email messages containing phish URLs removed after delivery - Email reported by user as malware or phish - Suspicious email sending patterns detected - User restricted from sending email These alerts can be seen by Office customers in the ** Office Security and Compliance Center**. For more information, see the Microsoft Sentinel documentation .","SecurityAlert","FALSE","Microsoft Corporation"
"Microsoft Defender Threat Intelligence","Microsoft Sentinel provides you the capability to import threat intelligence generated by Microsoft to enable monitoring, alerting and hunting. Use this data connector to import Indicators of Compromise (IOCs) from Microsoft Defender Threat Intelligence (MDTI) into Microsoft Sentinel. Threat indicators can include IP addresses, domains, URLs, and file hashes, etc.","ThreatIntelligenceIndicator","FALSE","Microsoft Corporation"
"Microsoft Defender XDR","Microsoft Defender XDR is a unified, natively integrated, pre- and post-breach enterprise defense suite that protects endpoint, identity, email, and applications and helps you detect, prevent, investigate, and automatically respond to sophisticated threats. Microsoft Defender XDR suite includes: - Microsoft Defender for Endpoint - Microsoft Defender for Identity - Microsoft Defender for Office 365 - Threat & Vulnerability Management - Microsoft Defender for Cloud Apps For more information, see the Microsoft Sentinel documentation .","SecurityIncident; SecurityAlert; DeviceEvents; EmailEvents; IdentityLogonEvents; CloudAppEvents; AlertEvidence","FALSE","Microsoft Corporation"
"Microsoft Entra ID","Gain insights into Microsoft Entra ID by connecting Audit and Sign-in logs to Microsoft Sentinel to gather insights around Microsoft Entra ID scenarios. You can learn about app usage, conditional access policies, legacy auth relate details using our Sign-in logs. You can get information on your Self Service Password Reset (SSPR) usage, Microsoft Entra ID Management activities like user, group, role, app management using our Audit logs table. For more information, see the Microsoft Sentinel documentation .","SigninLogs; AuditLogs; AADNonInteractiveUserSignInLogs; AADServicePrincipalSignInLogs; AADManagedIdentitySignInLogs; AADProvisioningLogs; ADFSSignInLogs; AADUserRiskEvents; AADRiskyUsers; NetworkAccessTraffic; AADRiskyServicePrincipals; AADServicePrincipalRiskEvents","FALSE","Microsoft Corporation"
"Microsoft Entra ID Protection","Microsoft Entra ID Protection provides a consolidated view at risk users, risk events and vulnerabilities, with the ability to remediate risk immediately, and set policies to auto-remediate future events. The service is built on Microsoft’s experience protecting consumer identities and gains tremendous accuracy from the signal from over 13 billion logins a day. Integrate Microsoft Microsoft Entra ID Protection alerts with Microsoft Sentinel to view dashboards, create custom alerts, and improve investigation. For more information, see the Microsoft Sentinel documentation . Get Microsoft Entra ID Premium P1/P2","SecurityAlert","FALSE","Microsoft Corporation"
"Microsoft Exchange Admin Audit Logs by Event Logs","Using Azure Monitor Agent - You can stream all Exchange Audit events from the Windows machines connected to your Microsoft Sentinel workspace using the Windows agent. This connection enables you to view dashboards, create custom alerts, and improve investigation. This is used by Microsoft Exchange Security Workbooks to provide security insights of your On-Premises Exchange environment","Event","FALSE","Community"
"Microsoft Exchange HTTP Proxy Logs","Using Azure Monitor Agent - You can stream HTTP Proxy logs and Security Event logs from the Windows machines connected to your Microsoft Sentinel workspace using the Windows agent. This connection enables you create custom alerts, and improve investigation. Learn more","ExchangeHttpProxy_CL","FALSE","Community"
"Microsoft Exchange Logs and Events","Using Azure Monitor Agent - You can stream all Exchange Security & Application Event logs from the Windows machines connected to your Microsoft Sentinel workspace using the Windows agent. This connection enables you to create custom alerts, and improve investigation.","Event","FALSE","Community"
"Microsoft Exchange Message Tracking Logs","Using Azure Monitor Agent - You can stream all Exchange Message Tracking from the Windows machines connected to your Microsoft Sentinel workspace using the Windows agent. Those logs can be used to track the flow of messages in your Exchange environment. This data connector is based on the option 6 of the Microsoft Exchange Security wiki .","MessageTrackingLog_CL","FALSE","Community"
"Microsoft Power Automate","Power Automate is a Microsoft service that helps users create automated workflows between apps and services to synchronize files, get notifications, collect data, and more. It simplifies task automation, increasing efficiency by reducing manual, repetitive tasks, and enhancing productivity. The Power Automate data connector provides the capability to ingest Power Automate activity logs from the Microsoft Purview Audit log into Microsoft Sentinel.","PowerAutomateActivity","FALSE","Microsoft Corporation"
